skeleton	glycans	primary_class	oversized	unsaturated	open_chain	polyol	undersized	no_anomeric	unknown_stereo	nC	first	last
oO211h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
oO212h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
oa121h	1	open_chain	0	0	1	0	0	0	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
od111m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
od112h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
od11h	1	open_chain	0	0	1	0	0	1	0	5	SZ2_ALDEHYDE	SZ3_HYDROXYL
od121m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
od122m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
od211h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
od222h	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_HYDROXYL
od521m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
odd21m	1	open_chain	0	0	1	0	0	1	0	6	SZ2_ALDEHYDE	SZ3_METHYL_L
odxxh	1	open_chain	0	0	1	0	0	1	1	5	SZ2_ALDEHYDE	SZ3_HYDROXYL
oxxh	1	open_chain	0	0	1	0	1	1	1	4	SZ2_ALDEHYDE	SZ3_HYDROXYL
oxxxh	1	open_chain	0	0	1	0	0	1	1	5	SZ2_ALDEHYDE	SZ3_HYDROXYL
oxxxxm	1	open_chain	0	0	1	0	0	1	1	6	SZ2_ALDEHYDE	SZ3_METHYL_L
