skeleton	glycans	rescodes	nC	first	last	nAnomer	nStereoDef	nStereoUnk	nDeoxy	nUndef	nCarbonyl	nAcid	nDouble	nTriple	nSP3	nSP2	nSP	nSPX	unknownChars
a11xxh	28	13	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
ax1dxh	28	20	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	2	1	0	0	0	0	0	6	0	0	0	-
Aad21111h	27	7	9	SZ2_ACID_U	SZ3_HYDROXYL	1	5	0	1	0	0	1	0	0	8	1	0	0	-
a2xxxh	27	13	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	3	0	0	0	0	0	0	6	0	0	0	-
ax112h	27	18	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	1	0	0	0	0	0	0	6	0	0	0	-
ax2xxh	27	19	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	3	0	0	0	0	0	0	6	0	0	0	-
axx21m	27	9	6	SZX_ANOMER	SZ3_METHYL_L	1	2	2	1	0	0	0	0	0	6	0	0	0	-
a11x2h	26	16	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	1	0	0	0	0	0	0	6	0	0	0	-
a1211A	26	9	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
a1d2h	26	20	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	0	1	0	0	0	0	0	5	0	0	0	-
ax2dxh	26	22	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	2	1	0	0	0	0	0	6	0	0	0	-
ad222h	25	20	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	0	1	0	0	0	0	0	6	0	0	0	-
Aad21x22h	24	11	9	SZ2_ACID_U	SZ3_HYDROXYL	1	4	1	1	0	0	1	0	0	8	1	0	0	-
a22x2h	24	8	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	1	0	0	0	0	0	0	6	0	0	0	-
ad11h	24	22	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	0	1	0	0	0	0	0	5	0	0	0	-
h122h	24	3	5	SZ3_HYDROXYL	SZ3_HYDROXYL	0	3	0	0	0	0	0	0	0	5	0	0	0	-
o1h	24	3	3	SZ2_ALDEHYDE	SZ3_HYDROXYL	0	1	0	0	0	1	0	0	0	2	1	0	0	-
a12d1m	23	6	6	SZX_ANOMER	SZ3_METHYL_L	1	3	0	2	0	0	0	0	0	6	0	0	0	-
ha1x2h	23	6	6	SZ3_HYDROXYL	SZ3_HYDROXYL	1	2	1	0	0	0	0	0	0	6	0	0	0	-
Aad11xxxh	22	19	9	SZ2_ACID_U	SZ3_HYDROXYL	1	2	3	1	0	0	1	0	0	8	1	0	0	-
Aad21211h	22	2	9	SZ2_ACID_U	SZ3_HYDROXYL	1	5	0	1	0	0	1	0	0	8	1	0	0	-
axdxxm	22	19	6	SZX_ANOMER	SZ3_METHYL_L	1	0	3	2	0	0	0	0	0	6	0	0	0	-
a12xxh	21	14	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	2	0	0	0	0	0	0	6	0	0	0	-
a21221h	21	12	7	SZX_ANOMER	SZ3_HYDROXYL	1	5	0	0	0	0	0	0	0	7	0	0	0	-
ad121m	21	17	6	SZX_ANOMER	SZ3_METHYL_L	1	3	0	2	0	0	0	0	0	6	0	0	0	-
ad12xh	21	10	6	SZX_ANOMER	SZ3_HYDROXYL	1	2	1	1	0	0	0	0	0	6	0	0	0	-
axdxh	21	19	5	SZX_ANOMER	SZ3_HYDROXYL	1	0	2	1	0	0	0	0	0	5	0	0	0	-
o2h	21	2	3	SZ2_ALDEHYDE	SZ3_HYDROXYL	0	1	0	0	0	1	0	0	0	2	1	0	0	-
a1221A	20	11	6	SZX_ANOMER	SZ2_ACID_U	1	4	0	0	0	0	1	0	0	5	1	0	0	-
a1x1xA	20	6	6	SZX_ANOMER	SZ2_ACID_U	1	2	2	0	0	0	1	0	0	5	1	0	0	-
axd2h	20	15	5	SZX_ANOMER	SZ3_HYDROXYL	1	1	1	1	0	0	0	0	0	5	0	0	0	-
ha2x1h	20	3	6	SZ3_HYDROXYL	SZ3_HYDROXYL	1	2	1	0	0	0	0	0	0	6	0	0	0	-
o1122h	20	8	6	SZ2_ALDEHYDE	SZ3_HYDROXYL	0	4	0	0	0	1	0	0	0	5	1	0	0	-
Aadxxx11h	19	5	9	SZ2_ACID_U	SZ3_HYDROXYL	1	2	3	1	0	0	1	0	0	8	1	0	0	-
add22m	19	8	6	SZX_ANOMER	SZ3_METHYL_L	1	2	0	3	0	0	0	0	0	6	0	0	0	-
axd2xh	19	8	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	2	1	0	0	0	0	0	6	0	0	0	-
h212h	19	3	5	SZ3_HYDROXYL	SZ3_HYDROXYL	0	3	0	0	0	0	0	0	0	5	0	0	0	-
ax11h	18	10	5	SZX_ANOMER	SZ3_HYDROXYL	1	2	1	0	0	0	0	0	0	5	0	0	0	-
axxdxm	18	14	6	SZX_ANOMER	SZ3_METHYL_L	1	0	3	2	0	0	0	0	0	6	0	0	0	-
axxx1h	18	7	6	SZX_ANOMER	SZ3_HYDROXYL	1	1	3	0	0	0	0	0	0	6	0	0	0	-
a11x1h	17	5	6	SZX_ANOMER	SZ3_HYDROXYL	1	3	1	0	0	0	0	0	0	6	0	0	0	-
h2211h	17	3	6	SZ3_HYDROXYL	SZ3_HYDROXYL	0	4	0	0	0	0	0	0	0	6	0	0	0	-
