map	glycans	rescodes	nAtom	nC	nO	nN	nS	nP	nHal	nAromAtom	nRing	nAromRing	ringSizes	nCarbonyl	nEsterC	maxChainC	attach
*C^SC(CCCCCC$4/5)C^RC$2/10O/3=O	1	1	12	10	2	0	0	0	0	6	2	1	6,6	1	0	0	C
*C^SCC=^ZCCC$2/5C	1	1	7	7	0	0	0	0	0	0	1	0	6	0	0	1	C
*C^SCCC^RC^RC^RC^SC^RC^SC^SC^SCC^RCC$11/14O/12CC^R$9/19O/11C/10CC^S$7/23O/8CC$6/7C/5C/2O	1	1	28	24	4	0	0	0	0	0	4	0	5,6,6,6	0	0	5	C
*C^SCCC^RC^RC^RC^SC^RC^XC^SC^SCC^RCC$11/14O/12CC^R$9/19O/11C/10CC^S$7/23O/8CC$6/7C/5C/2O	1	1	28	24	4	0	0	0	0	0	4	0	5,6,6,6	0	0	5	C
*C^SCC^RC^SC^RC^RCC$4/9=C/7O/6O/5CC$2/5C	1	1	14	12	2	0	0	0	0	0	2	0	6,6	0	0	1	C
*C^SC^RCC=^ECC^SC^RCC^RC^SC$7/11O/10O/8CC$5/15=O/7C/6CC$3/4=^ECC$2/3C	1	1	22	19	3	0	0	0	0	0	4	0	5,6,6,6	1	0	1	C
*C^SC^RC^RC=^ECC=^ZCC^RCOCC=^ZC$8/12=O/10C/10C/9CC$5/6CC$3/4C^ROCC/24=O/22C$2/4C/3C	1	1	28	24	4	0	0	0	0	0	4	0	5,6,7,7	2	2	2	C
*C^SC^RC^RC=^ECC^SC^RCCCC$7/10=O/9C/9C/8CC$5/7C/6CC$3/4CC$2/4C/3C	1	1	23	22	1	0	0	0	0	0	4	0	5,6,6,6	1	0	1	C
*C^SC^RC^RCCC^SC^RCC^SCC$7/10O/9C/9C/8CC$5/7C/6=^ZCC$3/4CC$2/4C/3C	1	1	23	22	1	0	0	0	0	0	4	0	5,6,6,6	0	0	1	C
*C^SC^RC^RCCC^SC^RCC^SCC$7/10OCC/14=O/9C/9C/8CC$5/7C/6=^ZCC$3/4CC$2/4C/3C	1	1	26	24	2	0	0	0	0	0	4	0	5,6,6,6	1	1	2	C
*C^SC^RC^RCC^RC^RC^RCC^RC^SC$7/11O/10O/8CC$5/15=O/7C/6CC$3/20=O/4CC$2/4O/3C	1	1	24	19	5	0	0	0	0	0	4	0	5,6,6,6	2	0	1	C
*C^SC^RC^SCC^RC^RC^RCC$5/9=O/8CC^SCC$7/13O/7C/6CC$3/4CC$2/4O/3C	1	1	22	19	3	0	0	0	0	0	4	0	5,6,6,6	1	0	1	C
*C^SC^RC^SCC^RC^RC^SCC^RC^SC$7/11O/10O/8CC$5/15=O/8O/7C/6CC$3/4CC$2/4O/3C	1	1	24	19	5	0	0	0	0	0	4	0	5,6,6,6	1	0	1	C
