rescode	glycans	smiles
Axh_2*OPO/3O/3=O	1	C(C(CO)OP(O)(O)=O)(=O)O
Axh_2*OPO/3O/3=O_3*OPO/3O/3=O	1	C(C(COP(O)(O)=O)OP(O)(O)=O)(=O)O
AxxA	1	C(C(C(C(=O)O)O)O)(=O)O
Axxh	1	C(C(C(CO)O)O)(=O)O
AxxxA	1	C(C(C(C(C(=O)O)O)O)O)(=O)O
Axxxh	1	C(C(C(C(CO)O)O)O)(=O)O
AxxxxA	1	C(C(C(C(C(C(=O)O)O)O)O)O)(=O)O
AxxxxA_3*OPO/3O/3=O	1	C(C(C(C(C(C(=O)O)O)O)OP(O)(O)=O)O)(=O)O
Axxxxh	1	C(C(C(C(C(CO)O)O)O)O)(=O)O
h1112m_1*OPO/3O/3=O_5*N	1	C([C@H]([C@H]([C@H]([C@@H](C)N)O)O)O)OP(O)(O)=O
h1122h_1*Br_6*Br	1	C([C@H]([C@H]([C@@H]([C@@H](CBr)O)O)O)O)Br
h1122h_1*OPO/3O/3=O	1	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)OP(O)(O)=O
h1122h_1*OPO/3O/3=O_2*N_6*OPO/3O/3=O	1	C([C@H]([C@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)O)N)OP(O)(O)=O
h1122h_1*OPO/3O/3=O_2*OCO_6*OPO/3O/3=O	1	C([C@H]([C@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)O)OCO)OP(O)(O)=O
h1122h_1*OPO/3O/3=O_2*OC_6*OPO/3O/3=O	1	C([C@H]([C@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)O)OC)OP(O)(O)=O
h1122h_2*N	1	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)N)O
h1122h_2*NCC/3=O	1	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)NC(C)=O)O
h1122h_2-5_1*OPO/3O/3=O_6*OPO/3O/3=O	1	C([C@@H]1[C@H]([C@@H]([C@@H](COP(O)(O)=O)O1)O)O)OP(O)(O)=O
h11m_1*OPO/3O/3=O	1	C([C@H]([C@H](C)O)O)OP(O)(O)=O
h1212h	1	C([C@H]([C@@H]([C@H]([C@@H](CO)O)O)O)O)O
h1222h	1	C([C@H]([C@@H]([C@@H]([C@@H](CO)O)O)O)O)O
h1222h_1-5_2*NCC/3=O	1	C1[C@H]([C@@H]([C@@H]([C@@H](CO)O1)O)O)NC(C)=O
h1222h_2-5_3*OSO/3=O/3=O	1	C([C@@H]1[C@@H]([C@@H]([C@@H](CO)O1)O)OS(O)(=O)=O)O
h122h_1*OPO/3O/3=O	1	C([C@H]([C@@H]([C@@H](CO)O)O)O)OP(O)(O)=O
h122h_5*NCC/3=O	1	C([C@H]([C@@H]([C@@H](CNC(C)=O)O)O)O)O
h12h_1*S_4*S	1	C([C@H]([C@@H](CS)O)O)S
h1x2h	1	C([C@H](C([C@@H](CO)O)O)O)O
h2112h_1*Br_6*Br	1	C([C@@H]([C@H]([C@H]([C@@H](CBr)O)O)O)O)Br
h2112h_1*OPO/3O/3=O	1	C([C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O)OP(O)(O)=O
h2112h_2-5	1	C([C@H]1[C@H]([C@H]([C@@H](CO)O1)O)O)O
h2112h_5*NCC/3=O	1	C([C@@H]([C@H]([C@H]([C@@H](CO)NC(C)=O)O)O)O)O
h2121h	1	C([C@@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O
h2121h_1-5	1	C1[C@@H]([C@H]([C@@H]([C@H](CO)O1)O)O)O
h2121h_2-5	1	C([C@H]1[C@H]([C@@H]([C@H](CO)O1)O)O)O
h2122h_1*N	1	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)N
h2122h_1*NC	1	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)NC
h2122h_1*OPO/3O/3=O_2*NCC/3=O	1	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)NC(C)=O)OP(O)(O)=O
h2122h_1*OPO/3O/3=O_2*N_6*OPO/3O/3=O	1	C([C@@H]([C@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)O)N)OP(O)(O)=O
h2122h_1-5_2*N	1	C1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)N
h2122h_1-5_2*NCCO/3=O	1	C1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)NC(CO)=O
h2122h_1-5_2*NSO/3=O/3=O_6*OSO/3=O/3=O	1	C1[C@@H]([C@H]([C@@H]([C@@H](COS(O)(=O)=O)O1)O)O)NS(O)(=O)=O
h2122h_1-5_6*OPO/3O/3=O	1	C1[C@@H]([C@H]([C@@H]([C@@H](COP(O)(O)=O)O1)O)O)O
h2122h_2*NCC/3=O_4*OPO/3O/3=O	1	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)OP(O)(O)=O)O)NC(C)=O)O
h2122h_2*NCC/3=O_6*OPO/3O/3=O	1	C([C@@H]([C@H]([C@@H]([C@@H](COP(O)(O)=O)O)O)O)NC(C)=O)O
h2122h_2*NSO/3=O/3=O	1	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)NS(O)(=O)=O)O
h2122h_2*N_6*OSO/3=O/3=O	1	C([C@@H]([C@H]([C@@H]([C@@H](COS(O)(=O)=O)O)O)O)N)O
h2122h_2*OC_3*OC_4*OC	1	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)OC)OC)OC)O
h2122h_2*OC_3*OC_5*OC_6*OC	1	C([C@@H]([C@H]([C@@H]([C@@H](COC)OC)O)OC)OC)O
h2122h_2-5	1	C([C@H]1[C@H]([C@@H]([C@@H](CO)O1)O)O)O
h2122h_2-5_1*OPO/3O/3=O_6*OPO/3O/3=O	1	C([C@H]1[C@H]([C@@H]([C@@H](COP(O)(O)=O)O1)O)O)OP(O)(O)=O
h2122h_3*OSO/3=O/3=O	1	C([C@@H]([C@H]([C@@H]([C@@H](CO)O)O)OS(O)(=O)=O)O)O
